created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Oct 18 18:39:30 +0000 2023;1714712827272065452;"@Munir_Timur Mahfud ini jenis orang yg haus kekuasaan tapi tidak bgtu kentara...dia malah lbh bhs diluar kekuasaan.mknya dikadali bolak balik ya ttp sj mau kalo mau dijadikan apa sj SM PDIP..lah wong dimadura sj dia gak bgtu laku opo maneh di kalangan NU...kartu mati ini mah";0;0;0;1;in;1405608937076920320;1714285913520632140;Embunpa01390476;https://twitter.com/Embunpa01390476/status/1714712827272065452
Wed Oct 18 18:36:47 +0000 2023;1714712143084613653;"@ulil Bahasanya gus ulil menjebak. Lawong cuma bilang terimakasih PDIP kok di jabarkan dan di tafsirkan yg macam². Dapat proyek dari PDIP ya gus? Tanyanya begitu..... Wkkkwkkk";0;0;0;0;in;1598899906374434816;1714493518050406769;KWhessy;https://twitter.com/KWhessy/status/1714712143084613653
Wed Oct 18 18:34:57 +0000 2023;1714711683632165169;"@FaGtng Yup benar sekali Karena PDIP itu bukan partai abu2 Semua kader harus tegas, kalau A ya bilang A, kalau B ya bilang B Harus tegas untuk kepentingan bangsa sekalipun misal yg diucapkan tidak populis";0;0;0;2;in;1602664579414126595;1714607213531271233;OZEREV007;https://twitter.com/OZEREV007/status/1714711683632165169
Wed Oct 18 18:29:00 +0000 2023;1714710186517295324;"@SemutIbrah99914 @HusinShihab @mohmahfudmd @ganjarpranowo Betul, makanya Mentri pertanian (SYL) dr NasDem dijebak pake anggaran, dan Mahfud langsung nyatakan SYL tersangka.  Pas giliran politisi PDIP yg korup pak @mohmahfudmd  malah diam, padahal dia bukan anak banteng.  Lagi, dia dia saat anak presiden diduga dpt bagian dr dana BTS !?";0;0;0;0;in;1640911014849032192;1714277313427464331;jupriadimz7;https://twitter.com/jupriadimz7/status/1714710186517295324
Wed Oct 18 18:28:56 +0000 2023;1714710168553091174;"@tvOneNews Oh ... th 2019 PDIP salah pilih ya";0;0;0;0;in;1567598293747920896;1714552829028016536;YudhistiraDoddy;https://twitter.com/YudhistiraDoddy/status/1714710168553091174
Wed Oct 18 18:23:53 +0000 2023;1714708898702389393;"@ARSIPAJA Jelas smua di kampung gwe ogah milih siapapun yang dari PDIP . .";0;0;0;0;in;1702364415998525440;1714675466991460460;th_d3d3;https://twitter.com/th_d3d3/status/1714708898702389393
Wed Oct 18 18:22:28 +0000 2023;1714708539233698038;"@ganjarpranowo @mohmahfudmd Klo bapak bukan dari PDIP saya pilih deh pak, beneran… forever you will be under your party leader";0;0;0;0;in;2778772045;1714509571082060219;hafitz5982;https://twitter.com/hafitz5982/status/1714708539233698038
Wed Oct 18 18:21:01 +0000 2023;1714708173934985332;"@henrysubiakto Sah sah saja bilang hubungan jokowi dan mega rusak, atau agak renggang. Tapi jokowi dan anak²nya, itu bukan orang yg tak tau balas budi. Yang membesarkan karier politik jokowi, sampai saat ini adalah PDIP dan bu mega. Saya yakin jokowi dan keluarga, tetap mendkng keputusan partai";0;0;0;1;in;1598899906374434816;1714642331196907901;KWhessy;https://twitter.com/KWhessy/status/1714708173934985332
Wed Oct 18 18:19:49 +0000 2023;1714707872393949648;"@tvOneNews Kok menugaskan wartawan itu kewajiban ketu DPP PDIP Loh";0;0;0;0;in;1676784734;1714597519014219867;basukining;https://twitter.com/basukining/status/1714707872393949648
Wed Oct 18 18:19:21 +0000 2023;1714707756857651303;"@sigitwid Politikus kurang wawasan ya begini pantesan tetap jadi partai gurem. Pak @jokowi itu orang politik yg pilihan politiknya pasti sama dengan instruksi partainya.Orang jadi Presiden itu tdk ujug2 spt menjadi Ketum PSI.Jokowi Nyapres itu hrs didukung oleh Partai&amp partainya itu PDIP.";0;0;0;0;in;278039207;1714484379769311600;Megatop99;https://twitter.com/Megatop99/status/1714707756857651303
Wed Oct 18 18:19:13 +0000 2023;1714707722120425494;"@arifin34533 PDIP menjaga nama baik pak jokowi,. Pak jokowi ada tugas negara, bukan tugas partai..  Pak jokowi tdk datang d buat pembahasan Pak jokowi hadir juga bakalan sama ttp d buat pembahasan..";0;0;0;0;in;1684658799867748352;1714503042824024424;IansDewa;https://twitter.com/IansDewa/status/1714707722120425494
Wed Oct 18 18:18:50 +0000 2023;1714707625194254577;"@LampungGanjar Memilih Mahfud MD sebagai cawapres bukan pinter. Tapi ketakutan suaranya PDIP ancur.  Tp insyaallah tidak berpengaruh signifikan.Orang Indonesia sudah cerdas dan waras.Kalau jadi nasibnya tidak jauh berbeda dengan ma'ruf amin hanya duduk2 saja di kantor wapres.";0;0;0;0;in;1706731370834542595;1714706793279221978;MohSalim299487;https://twitter.com/MohSalim299487/status/1714707625194254577
Wed Oct 18 18:17:50 +0000 2023;1714707372801949717;"Hal ini akan menunjukkan bahwa PDIP adalah partai yang sangat kuat karena tidak bergantung kepada salah satu tokoh (dalam hal ini Jokowi).";0;1;0;0;in;1640761821081792513;1714706141429830072;danariki187;https://twitter.com/danariki187/status/1714707372801949717
Wed Oct 18 18:14:25 +0000 2023;1714706513183600768;"Hal ini akan menunjukkan bahwa PDIP adalah partai yang sangat kuat karena tidak bergantung kepada salah satu tokoh (dalam hal ini Jokowi).";0;1;0;0;in;1640761821081792513;1714706141429830072;danariki187;https://twitter.com/danariki187/status/1714706513183600768
Wed Oct 18 18:14:04 +0000 2023;1714706426726412602;"@gibran_tweet Pak wali cuitannya kok sekarang beginian..? Gini amat cari bahan buat berprilaku ambigu? Apa relasinya berita ini dengan Solo? Apa relasinya berita ini dengan PDIP? Apa relasinya berita ini dengan kehidupan pribadi Pak wali? 😔😔😔 Ampun dah..";0;0;0;3;in;1407309611456077831;1714561924225249552;Bojak53846772;https://twitter.com/Bojak53846772/status/1714706426726412602
Wed Oct 18 18:13:42 +0000 2023;1714706335235997796;"@WinnerWave_ Ya kaya lu yang idolism pdip dan megawati, sama aja jd gausah merasa si paling bernalar";0;0;0;1;in;330340103;1714696032259633355;furioushanks;https://twitter.com/furioushanks/status/1714706335235997796
Wed Oct 18 18:13:33 +0000 2023;1714706295893487663;"Dengan mungucap kalimat bismillahirohmanirohim bu Megawati  menunjuk pak Mahfud MD agar menjadi cawapres mendampingi capres dari PDIP perjuangan pak Ganjar pranowo.";0;0;1;0;in;3675556939;1714706295893487663;ilhamhasibuann;https://twitter.com/ilhamhasibuann/status/1714706295893487663
Wed Oct 18 18:12:56 +0000 2023;1714706141429830072;"Keputusan yang sangat brilian dari Megawati (Ketum PDIP) yang dengan tegas menunjukkan eksistensinya sebagai orang nomor 1 di PDIP, yang secara resmi pada 18 Oktober 2023, PDIP menetapkan Mahfud MD sebagai Cawapres mendampingi Ganjar yang sebelumnya telah ditunjuk Capres.";0;1;0;0;in;1640761821081792513;1714706141429830072;danariki187;https://twitter.com/danariki187/status/1714706141429830072
Wed Oct 18 18:11:23 +0000 2023;1714705751489544468;"Hasil Togel Latvia, 19 Oktober 2023  Akun Gacor👉 https://t.co/HclyIeEyN2  Gibran pinjam 349 T demi Foto Termahal 2023 dan berkata MOM SORRY to PDIP dan Sara Wijayanto serta Mamat ke Madura dan Projo Dukung Prabowo dan ORANG BAIK PILIH ORANG BAIK  #GazaAttack #AnindyaAstadasa https://t.co/HwSvW7if7A";0;0;0;0;in;1702340513414963200;1714705751489544468;lcct0to;https://twitter.com/lcct0to/status/1714705751489544468
Wed Oct 18 18:11:09 +0000 2023;1714705694518313105;"@ch_chotimah2 @gibran_tweet @PDI_Perjuangan @jokowi @ganjarpranowo @ArsjadRasjid Bukanya sebaliknya yah.  PDIP menangis ke masyarakat ketika ada maunya. Pas sudah di atas mereka seakan2 tuli ketika masyarakat membutuhkanya!";0;0;0;0;in;1702364415998525440;1714128914388513053;th_d3d3;https://twitter.com/th_d3d3/status/1714705694518313105
Wed Oct 18 18:10:33 +0000 2023;1714705541170426268;"@Dennysiregar7 @gogo74070675957 @jokowi Pas JOKOWI dihina Mega, smua bilang TEGAK LURUS JOKOWI,, skrg Jokowi di isukan anaknya gandeng Prabowo teriak lagi Tegak Lurus ke PDIP,, pdahal cuman isu, selemah itukah mental kalian 🤣🤣 gw yakin ganjar ttep JADI dan prabowo KALAH lagi krna masa lalunya, anies? gw gak kenal😄";0;2;0;2;in;1304094326310412288;1714645158858195213;marlin_rizki;https://twitter.com/marlin_rizki/status/1714705541170426268
Wed Oct 18 18:09:45 +0000 2023;1714705341479612930;"@CNNIndonesia Dan sy yakin kl ini pdip tumbang";0;0;0;0;in;1475708105497329664;1714560385024704799;variatama;https://twitter.com/variatama/status/1714705341479612930
Wed Oct 18 18:08:44 +0000 2023;1714705084280696989;"@kompascom PDIP kemana aja selama 2 periode, kok masalahnya masih itu" aja, hukum, pangan, korupsi... Eh... PDIP kan sarangnya koruptor... Bisa kerja nggak sih? Jargonnya aja... Kerja kerja kerja, e... Taunya ngutang, ngutang, ngutang buat dikorupsi...";0;0;0;0;in;4696655412;1714632128158113943;jonny_pratama79;https://twitter.com/jonny_pratama79/status/1714705084280696989
Wed Oct 18 18:07:57 +0000 2023;1714704886917722115;"@PopyRgp @gibran_tweet Telusuri postingan2 sblumnya:ada pidato mahfud cawapres pdip,ada berita anis imin mau cek kesehatan.Mas gibran mencoba adil dan netral kayaknya";0;0;0;1;in;1684060863479844867;1714544125520077270;alecsander10563;https://twitter.com/alecsander10563/status/1714704886917722115
Wed Oct 18 18:05:56 +0000 2023;1714704378811285736;"@SetionoPutranto @Dennysiregar7 Pas JOKOWI dihina Mega, smua bilang TEGAK LURUS JOKOWI,, skrg Jokowi di isukan anaknya gandeng prabowo teriak lagi Tegak Lurus ke PDIP,, pdahal cuman isu,, selemah itukah mental kalian 🤣🤣🤣 gw yakin ganjar ttep jadi dan prabowo klah lagi krna masa lalunya, anies? gw gak kenal🤣";0;0;0;1;in;1304094326310412288;1714662753070203346;marlin_rizki;https://twitter.com/marlin_rizki/status/1714704378811285736
